,row_index,web-scraper-order,web-scraper-start-url,author,title,date,content,rating,next,next-href,compound_nouns,aspect_keywords,competition,competition_comp_nouns,competition_aspects,Review
92,92,1583824221-71,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,vellingiri,Parcel damage,Reviewed in India on 24 September 2019,Damaged product,1.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,[],[],[],[],[],Parcel damage. Damaged product
93,93,1583824252-213,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,MUTHURAM,Packing,Reviewed in India on 8 October 2018,"Little bit of leakage was there , the opening can be covered tightly to avoid this",3.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_22?ie=UTF8&pageNumber=22&reviewerType=all_reviews,[],"['Little bit', 'covered tightly']",[],[],[],"Packing. Little bit of leakage was there , the opening can be covered tightly to avoid this"
94,94,1583824232-126,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Sidshaa,Good,Reviewed in India on 24 June 2019,Good,3.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_13?ie=UTF8&pageNumber=13&reviewerType=all_reviews,[],[],[],[],[],Good. Good
95,95,1583824208-26,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Ausaf j.,Love this shampoo,Reviewed in India on 6 June 2019,"This is a wondeefull shampoo.
And its controll my hairfall 95%.
I love it",5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_3?ie=UTF8&pageNumber=3&reviewerType=all_reviews,[],[],[],[],[],"Love this shampoo. This is a wondeefull shampoo.
And its controll my hairfall 95%.
I love it"
96,96,1583824221-73,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Amazon Customer,Good,Reviewed in India on 16 May 2018,Good shampoo at this price,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_8?ie=UTF8&pageNumber=8&reviewerType=all_reviews,[],['Good shampoo'],[],[],[],Good. Good shampoo at this price
97,97,1583824241-164,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,RAJU Y,Ok ok,Reviewed in India on 16 August 2019,Ok,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,[],[],[],[],[],Ok ok. Ok
98,98,1583824230-115,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,NURAZZUDDIN  SK,Amazon customer,Reviewed in India on 2 November 2018,Never buy,1.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_12?ie=UTF8&pageNumber=12&reviewerType=all_reviews,[],['Never buy'],[],[],[],Amazon customer. Never buy
99,99,1583824213-48,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Asadul,Nice product in this price,Reviewed in India on 4 March 2020,Thanks Amazon by nice product in this pric and limeted time delivery by me tnx Amazon,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_5?ie=UTF8&pageNumber=5&reviewerType=all_reviews,"[('time delivery', 'delivery')]",['nice product'],[],[],[],Nice product in this price. Thanks Amazon by nice product in this pric and limeted time delivery by me tnx Amazon
100,100,1583824211-34,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Shivaram,Best performance,Reviewed in India on 13 November 2019,Best assured product,5.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_4?ie=UTF8&pageNumber=4&reviewerType=all_reviews,[],"['Best assured product', 'assured product']",[],[],[],Best performance. Best assured product
101,101,1583824241-161,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_dp_d_show_all_btm?ie=UTF8&reviewerType=all_reviews,Pallavi dehariya,Superb,Reviewed in India on 2 March 2020,Nice,4.0 out of 5 stars,Next page→,https://www.amazon.in/Nyle-NA-Anti-Hairfall-Shampoo-400ml/product-reviews/B01LXGAL4J/ref=cm_cr_arp_d_paging_btm_17?ie=UTF8&pageNumber=17&reviewerType=all_reviews,[],[],[],[],[],Superb. Nice
